alias,user_insta,user_tt,followers_tt,total_likes_5days,like_mean_5days,total_rts_3days,rt_mean_3days,score,date,rt_follower,likes_follower
scooby,pedroscooby,PedroScooby,423517,507307,2284.261261261261,44393,199.88288288288288,2584.091687077581,2022-03-15,0.1048198773602948,1.1978432979077582
arthur,arthuraguiar,Aguiarthur,2083559,1736371,3050.029876977153,140855,247.37434094903332,3421.093030346714,2022-03-15,0.0676030772346739,0.8333678095988643
pa,iampauloandre,iampauloandre,380394,763612,2579.199324324324,41561,140.3716216216216,2789.76409061785,2022-03-15,0.1092577695757556,2.0074238815543883
lina,linndaquebrada,linndaquebrada,661597,762015,2874.984905660377,35098,132.43396226415095,3073.6404948392315,2022-03-15,0.053050421933594,1.1517812202896929
lucas,bissolilucas,LucasBissoli_,103644,166431,756.3454545454546,20975,95.33636363636364,899.3586772992167,2022-03-15,0.2023754390027401,1.6057948361699663
nat,natalia.deodato,nataliadeodato,305708,156446,909.2441860465116,11893,69.12790697674419,1012.9393599219623,2022-03-15,0.0389031363261674,0.5117497742944247
jessi,jessilane,a_jessilane,167860,142742,509.6857142857143,13427,47.94285714285714,581.6034647920887,2022-03-15,0.0799892767782676,0.8503633980698201
gustavo,gustavo_marsengo,gustavo_beats,128791,102805,568.6132596685082,6330,35.19444444444444,621.4097512447287,2022-03-15,0.0491493970852,0.7982312428663494
eslo,eslomarques,eslomarques,144601,69348,433.35625,5447,34.0375,484.41584999412174,2022-03-15,0.0376691724123622,0.4795817456310814
vyni,vyniof,vyniof,162338,61095,389.0382165605096,4053,25.80254777070064,427.7446731020354,2022-03-15,0.0249664280698296,0.3763444172036122
dg,douglassilva,Silva_DG,368088,270401,997.730627306273,15355,56.656826568265686,1082.7188086179617,2022-03-15,0.0417155680163439,0.7346096585599096
lais,dra.laiscaldass,dra_laiscaldass,22811,31164,199.75641025641025,3865,24.78846153846154,236.9494896187062,2022-03-15,0.1694357985182587,1.3661829818947
eli,eliezer,eliezer,81007,8014,57.64028776978417,404,2.906474820143885,62.00076536595603,2022-03-15,0.0049872233263792,0.0989297221227795
scooby,pedroscooby,PedroScooby,427847,579190,2717.924882629108,53030,248.93427230046947,3091.333516387671,2022-03-16,0.1239461770212248,1.353731590965929
arthur,arthuraguiar,Aguiarthur,2088301,1731108,4293.506203473946,154769,384.8557213930348,4870.792117980992,2022-03-16,0.0741124004633431,0.8289552128740062
pa,iampauloandre,iampauloandre,384526,664168,2885.486956521739,37260,161.94347826086957,3128.410309649441,2022-03-16,0.0968985192158657,1.7272382101600412
lina,linndaquebrada,linndaquebrada,665078,625619,2767.234513274336,27153,120.11946902654869,2947.4181484954306,2022-03-16,0.0408267902411446,0.9406701168885454
lucas,bissolilucas,LucasBissoli_,105155,204014,1067.3350785340317,25066,131.17801047120415,1264.1141155626412,2022-03-16,0.2383719271551519,1.940126479958157
nat,natalia.deodato,nataliadeodato,305670,100435,702.0629370629371,8339,58.32167832167832,789.5480375449458,2022-03-16,0.0272810547322275,0.3285732980011123
jessi,jessilane,a_jessilane,168686,119807,539.418918918919,10426,46.96396396396396,609.8684802500471,2022-03-16,0.0618071446355951,0.7102367712791814
gustavo,gustavo_marsengo,gustavo_beats,128991,101621,573.9209039548023,7201,40.68361581920904,634.9512500915953,2022-03-16,0.0558256002356753,0.787814653735532
eslo,eslomarques,eslomarques,145175,61243,463.77272727272725,4878,36.95454545454545,519.2081218591981,2022-03-16,0.0336008265885999,0.421856380230756
vyni,vyniof,vyniof,165532,131001,725.5666666666667,10138,56.20555555555556,809.8798925585385,2022-03-16,0.0612449556581204,0.7913938090520262
dg,douglassilva,Silva_DG,369441,294003,1386.0424528301887,19092,90.02830188679245,1521.089022921065,2022-03-16,0.0516780757955938,0.7958050135204268
lais,dra.laiscaldass,dra_laiscaldass,23020,31464,224.6642857142857,7207,51.41428571428571,301.79882400397173,2022-03-16,0.3130755864465682,1.366811468288445
eli,eliezer,eliezer,81585,6809,43.33757961783439,395,2.515923566878981,47.11204242068664,2022-03-16,0.0048415762701476,0.0834589691732548
